"","Open","High","Low","Close","Volume","Ex-Dividend","Split Ratio","Adj. Open","Adj. High","Adj. Low","Adj. Close","Adj. Volume"
"1980-12-12",28.75,28.87,28.75,28.75,2093900,0,1,0.42836426179446,0.43015221697412,0.42836426179446,0.42836426179446,117258400
"1980-12-15",27.38,27.38,27.25,27.25,785200,0,1,0.4079517734933,0.4079517734933,0.40601482204866,0.40601482204866,43971200
"1980-12-16",25.37,25.37,25.25,25.25,472000,0,1,0.37800352423393,0.37800352423393,0.37621556905426,0.37621556905426,26432000
"1980-12-17",25.87,26,25.87,25.87,385900,0,1,0.38545333748253,0.38739028892716,0.38545333748253,0.38545333748253,21610400
"1980-12-18",26.63,26.75,26.63,26.63,327900,0,1,0.3967770536204,0.39856500880006,0.3967770536204,0.3967770536204,18362400
"1980-12-19",28.25,28.38,28.25,28.25,217100,0,1,0.42091444854586,0.4228513999905,0.42091444854586,0.42091444854586,12157600
"1980-12-22",29.63,29.75,29.63,29.63,166800,0,1,0.44147593311199,0.44326388829166,0.44147593311199,0.44147593311199,9340800
"1980-12-23",30.88,31,30.88,30.88,209600,0,1,0.46010046623349,0.46188842141316,0.46010046623349,0.46010046623349,11737600
"1980-12-24",32.5,32.63,32.5,32.5,214300,0,1,0.48423786115895,0.48617481260359,0.48423786115895,0.48423786115895,12000800
"1980-12-26",35.5,35.62,35.5,35.5,248100,0,1,0.52893674065055,0.53072469583021,0.52893674065055,0.52893674065055,13893600
"1980-12-29",36,36.13,36,36,415900,0,1,0.53638655389915,0.53832350534379,0.53638655389915,0.53638655389915,23290400
"1980-12-30",35.25,35.25,35.12,35.12,307500,0,1,0.52521183402625,0.52521183402625,0.52327488258161,0.52327488258161,17220000
"1980-12-31",34.25,34.25,34.13,34.13,159600,0,1,0.51031220752905,0.51031220752905,0.50852425234939,0.50852425234939,8937600
"1981-01-02",34.5,34.75,34.5,34.5,96700,0,1,0.51403711415335,0.51776202077765,0.51403711415335,0.51403711415335,5415200
"1981-01-05",33.87,33.87,33.75,33.75,159500,0,1,0.50465034946012,0.50465034946012,0.50286239428045,0.50286239428045,8932000
"1981-01-06",32.37,32.37,32.25,32.25,201600,0,1,0.48230090971432,0.48230090971432,0.48051295453465,0.48051295453465,11289600
"1981-01-07",31,31,30.88,30.88,248600,0,1,0.46188842141316,0.46188842141316,0.46010046623349,0.46010046623349,13921600
