"","Open","High","Low","Close","Volume","Ex-Dividend","Split Ratio","Adj. Open","Adj. High","Adj. Low","Adj. Close","Adj. Volume"
"1970-01-02",61.75,62,61.62,62,36700,0,1,1.0233784748842,1.0275217075761,1.0212239938845,1.0275217075761,1174400
"1970-01-05",62,63,61.87,63,58800,0,1,1.0275217075761,1.0440946383434,1.0253672265763,1.0440946383434,1881600
"1970-01-06",63,63.13,62.25,62.87,38500,0,1,1.0440946383434,1.0462491193432,1.0316649402679,1.0419401573437,1232000
"1970-01-07",62.87,62.87,62.38,62.5,28700,0,1,1.0419401573437,1.0419401573437,1.0338194212676,1.0358081729597,918400
"1970-01-08",62.5,63,62.25,62.62,33600,0,1,1.0358081729597,1.0440946383434,1.0316649402679,1.0377969246518,1075200
"1970-01-09",62.62,62.87,62.38,62.87,33500,0,1,1.0377969246518,1.0419401573437,1.0338194212676,1.0419401573437,1072000
"1970-01-12",62.87,63,62.38,62.38,27900,0,1,1.0419401573437,1.0440946383434,1.0338194212676,1.0338194212676,892800
"1970-01-13",62.38,62.75,62.13,62.13,39000,0,1,1.0338194212676,1.0399514056516,1.0296761885758,1.0296761885758,1248000
"1970-01-14",62.13,62.25,61.87,62.25,41500,0,1,1.0296761885758,1.0316649402679,1.0253672265763,1.0316649402679,1328000
"1970-01-15",62.25,62.25,61.5,61.62,37700,0,1,1.0316649402679,1.0316649402679,1.0192352421924,1.0212239938845,1206400
"1970-01-16",61.62,62,61.62,61.87,34400,0,1,1.0212239938845,1.0275217075761,1.0212239938845,1.0253672265763,1100800
"1970-01-19",61.87,62,61.5,61.87,21900,0,1,1.0253672265763,1.0275217075761,1.0192352421924,1.0253672265763,700800
"1970-01-20",61.87,62.25,61.62,61.62,38800,0,1,1.0253672265763,1.0316649402679,1.0212239938845,1.0212239938845,1241600
"1970-01-21",61.62,62,61.5,61.5,26300,0,1,1.0212239938845,1.0275217075761,1.0192352421924,1.0192352421924,841600
"1970-01-22",61.5,61.62,61,61.13,43200,0,1,1.0192352421924,1.0212239938845,1.0109487768087,1.0131032578085,1382400
"1970-01-23",61.13,61.13,60.13,60.25,58700,0,1,1.0131032578085,1.0131032578085,0.9965303270411,0.99851907873318,1878400
"1970-01-26",60.25,60.5,60,60.38,32600,0,1,0.99851907873318,1.002662311425,0.99437584604134,1.0006735597329,1043200
"1970-01-27",60.13,60.13,59.5,60,64200,0,1,0.9965303270411,0.9965303270411,0.98608938065766,0.99437584604134,2054400
"1970-01-28",60,60,58,58.13,46500,0,1,0.99437584604134,0.99437584604134,0.96122998450663,0.96338446550639,1488000
"1970-01-29",57.62,57.62,56.87,56.87,48400,0,1,0.95493227081503,0.95493227081503,0.94250257273952,0.94250257273952,1548800
"1970-01-30",56.75,56.75,56,56.38,67900,0,1,0.94051382104743,0.94051382104743,0.92808412297192,0.93438183666351,2172800
"1970-02-02",56.38,56.38,56,56,86100,0,1,0.93438183666351,0.93438183666351,0.92808412297192,0.92808412297192,2755200
"1970-02-03",56,57.5,55.75,57.13,80400,0,1,0.92808412297192,0.95294351912295,0.92394089028008,0.94681153473903,2572800
"1970-02-04",57.13,57.25,56.75,57,62600,0,1,0.94681153473903,0.94880028643111,0.94051382104743,0.94465705373927,2003200
"1970-02-05",57,57,56.75,56.87,52400,0,1,0.94465705373927,0.94465705373927,0.94051382104743,0.94250257273952,1676800
"1970-02-06",56.13,56.13,55.38,55.5,51100,0,1,0.93023860397167,0.93023860397167,0.91780890589616,0.91979765758824,1635200
"1970-02-09",55.5,55.75,55.13,55.25,43700,0,1,0.91979765758824,0.92394089028008,0.91366567320432,0.9156544248964,1398400
"1970-02-10",55,55,52.75,53.25,86800,0,1,0.91151119220456,0.91151119220456,0.87422209797801,0.88250856336169,2777600
"1970-02-11",53.25,53.62,52.5,53.62,72400,0,1,0.88250856336169,0.88864054774561,0.87007886528617,0.88864054774561,2316800
"1970-02-12",53.5,53.5,51.5,52.25,81600,0,1,0.88665179605353,0.88665179605353,0.85350593451882,0.86593563259433,2611200
"1970-02-13",52.25,52.38,51.5,52,74400,0,1,0.86593563259433,0.86809011359409,0.85350593451882,0.86179239990249,2380800
"1970-02-16",50.75,50.75,50.13,50.38,109300,0,1,0.8410762364433,0.8410762364433,0.83080101936754,0.83494425205938,3497600
"1970-02-17",50.38,50.38,49.87,50.13,96200,0,1,0.83494425205938,0.83494425205938,0.82649205736803,0.83080101936754,3078400
"1970-02-18",50.75,53.25,50.75,52.87,138700,0,1,0.8410762364433,0.88250856336169,0.8410762364433,0.87621084967009,4438400
"1970-02-19",53.62,54.62,53.62,53.62,105500,0,1,0.88864054774561,0.90521347851297,0.88864054774561,0.88864054774561,3376000
"1970-02-20",53.62,55.25,53,55.13,140000,0,1,0.88864054774561,0.9156544248964,0.87836533066985,0.91366567320432,4480000
