"","Open","High","Low","Close","Volume","Ex-Dividend","Split Ratio","Adj. Open","Adj. High","Adj. Low","Adj. Close","Adj. Volume"
"1986-03-13",25.5,29.25,25.5,28,3582600,0,1,0.059889903388782,0.068697242122427,0.059889903388782,0.065761462544545,1031788800
"1986-03-14",28,29.5,28,29,1070000,0,1,0.065761462544545,0.069284398038003,0.065761462544545,0.06811008620685,308160000
"1986-03-17",29,29.75,29,29.5,462400,0,1,0.06811008620685,0.069871553953579,0.06811008620685,0.069284398038003,133171200
"1986-03-18",29.5,29.75,28.5,28.75,235300,0,1,0.069284398038003,0.069871553953579,0.066935774375698,0.067522930291274,67766400
"1986-03-19",28.75,29,28,28.25,166300,0,1,0.067522930291274,0.06811008620685,0.065761462544545,0.066348618460121,47894400
"1986-03-20",28.25,28.25,27.25,27.5,202900,0,1,0.066348618460121,0.066348618460121,0.063999994797816,0.064587150713393,58435200
"1986-03-21",27.5,28,26.25,26.75,208300,0,1,0.064587150713393,0.065761462544545,0.061651371135511,0.062825682966664,59990400
"1986-03-24",26.75,26.75,25.75,26,226700,0,1,0.062825682966664,0.062825682966664,0.060477059304358,0.061064215219935,65289600
"1986-03-25",26,26.5,25.75,26.5,111400,0,1,0.061064215219935,0.062238527051087,0.060477059304358,0.062238527051087,32083200
"1986-03-26",26.5,27.5,26.25,27.25,79000,0,1,0.062238527051087,0.064587150713393,0.061651371135511,0.063999994797816,22752000
"1986-03-27",27.25,27.75,27.25,27.75,58500,0,1,0.063999994797816,0.065174306628969,0.063999994797816,0.065174306628969,16848000
"1986-03-31",27.75,27.75,27,27.5,44700,0,1,0.065174306628969,0.065174306628969,0.06341283888224,0.064587150713393,12873600
"1986-04-01",27.5,27.5,27.25,27.25,38500,0,1,0.064587150713393,0.064587150713393,0.063999994797816,0.063999994797816,11088000
"1986-04-02",27.25,28,27.25,27.5,93800,0,1,0.063999994797816,0.065761462544545,0.063999994797816,0.064587150713393,27014400
"1986-04-03",27.75,28.5,27.75,27.75,80000,0,1,0.065174306628969,0.066935774375698,0.065174306628969,0.065174306628969,23040000
"1986-04-04",27.75,28,27.75,27.75,92300,0,1,0.065174306628969,0.065761462544545,0.065174306628969,0.065174306628969,26582400
"1986-04-07",27.75,28,26.75,27.25,57500,0,1,0.065174306628969,0.065761462544545,0.062825682966664,0.063999994797816,16560000
"1986-04-08",27.25,28,27.25,27.5,35600,0,1,0.063999994797816,0.065761462544545,0.063999994797816,0.064587150713393,10252800
"1986-04-09",27.5,28.25,27.5,28,42200,0,1,0.064587150713393,0.066348618460121,0.064587150713393,0.065761462544545,12153600
"1986-04-10",28,28.5,27.5,28.25,48200,0,1,0.065761462544545,0.066935774375698,0.064587150713393,0.066348618460121,13881600
"1986-04-11",28.5,29.25,28.5,28.75,59800,0,1,0.066935774375698,0.068697242122427,0.066935774375698,0.067522930291274,17222400
"1986-04-14",28.75,29.25,28.75,29,42200,0,1,0.067522930291274,0.068697242122427,0.067522930291274,0.06811008620685,12153600
"1986-04-15",29,29,28,29,32300,0,1,0.06811008620685,0.06811008620685,0.065761462544545,0.06811008620685,9302400
"1986-04-16",29,30.25,28.75,30,110800,0,1,0.06811008620685,0.071045865784732,0.067522930291274,0.070458709869156,31910400
"1986-04-17",30,30.25,30,30.25,76400,0,1,0.070458709869156,0.071045865784732,0.070458709869156,0.071045865784732,22003200
"1986-04-18",30.25,30.25,29,29.25,75100,0,1,0.071045865784732,0.071045865784732,0.06811008620685,0.068697242122427,21628800
"1986-04-21",29.25,29.5,28.5,29.25,79600,0,1,0.068697242122427,0.069284398038003,0.066935774375698,0.068697242122427,22924800
"1986-04-22",29.25,29.25,28.75,28.75,54000,0,1,0.068697242122427,0.068697242122427,0.067522930291274,0.067522930291274,15552000
"1986-04-23",28.75,29,28.5,28.87,54200,0,1,0.067522930291274,0.06811008620685,0.066935774375698,0.067804765130751,15609600
"1986-04-24",28.87,32.25,28.75,31.75,216500,0,1,0.067804765130751,0.075743113109342,0.067522930291274,0.07456880127819,62352000
"1986-04-25",32,35.13,32,33.75,297900,0,1,0.075155957193766,0.082507149256781,0.075155957193766,0.0792660486028,85795200
