,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
1980-12-12 05:00:00 UTC,28.75,28.87,28.75,28.75,2.0939e+6,0,1,0.42836426179446,0.43015221697412,0.42836426179446,0.42836426179446,1.172584e+8
1980-12-15 05:00:00 UTC,27.38,27.38,27.25,27.25,785200,0,1,0.4079517734933,0.4079517734933,0.40601482204866,0.40601482204866,4.39712e+7
1980-12-16 05:00:00 UTC,25.37,25.37,25.25,25.25,472000,0,1,0.37800352423393,0.37800352423393,0.37621556905426,0.37621556905426,2.6432e+7
1980-12-17 05:00:00 UTC,25.87,26,25.87,25.87,385900,0,1,0.38545333748253,0.38739028892716,0.38545333748253,0.38545333748253,2.16104e+7
1980-12-18 05:00:00 UTC,26.63,26.75,26.63,26.63,327900,0,1,0.3967770536204,0.39856500880006,0.3967770536204,0.3967770536204,1.83624e+7
1980-12-19 05:00:00 UTC,28.25,28.38,28.25,28.25,217100,0,1,0.42091444854586,0.4228513999905,0.42091444854586,0.42091444854586,1.21576e+7
1980-12-22 05:00:00 UTC,29.63,29.75,29.63,29.63,166800,0,1,0.44147593311199,0.44326388829166,0.44147593311199,0.44147593311199,9.3408e+6
1980-12-23 05:00:00 UTC,30.88,31,30.88,30.88,209600,0,1,0.46010046623349,0.46188842141316,0.46010046623349,0.46010046623349,1.17376e+7
1980-12-24 05:00:00 UTC,32.5,32.63,32.5,32.5,214300,0,1,0.48423786115895,0.48617481260359,0.48423786115895,0.48423786115895,1.20008e+7
1980-12-26 05:00:00 UTC,35.5,35.62,35.5,35.5,248100,0,1,0.52893674065055,0.53072469583021,0.52893674065055,0.52893674065055,1.38936e+7
1980-12-29 05:00:00 UTC,36,36.13,36,36,415900,0,1,0.53638655389915,0.53832350534379,0.53638655389915,0.53638655389915,2.32904e+7
1980-12-30 05:00:00 UTC,35.25,35.25,35.12,35.12,307500,0,1,0.52521183402625,0.52521183402625,0.52327488258161,0.52327488258161,1.722e+7
1980-12-31 05:00:00 UTC,34.25,34.25,34.13,34.13,159600,0,1,0.51031220752905,0.51031220752905,0.50852425234939,0.50852425234939,8.9376e+6
1981-01-02 05:00:00 UTC,34.5,34.75,34.5,34.5,96700,0,1,0.51403711415335,0.51776202077765,0.51403711415335,0.51403711415335,5.4152e+6
