,Ex-Dividend
1987-11-17 05:00:00 UTC,0.08
1988-02-12 05:00:00 UTC,0.08
1988-05-16 04:00:00 UTC,0.08
1988-08-15 04:00:00 UTC,0.08
1988-11-21 05:00:00 UTC,0.1
1989-02-17 05:00:00 UTC,0.1
1989-05-22 04:00:00 UTC,0.1
1989-08-21 04:00:00 UTC,0.1
1989-11-17 05:00:00 UTC,0.11
1990-02-16 05:00:00 UTC,0.11
1990-05-21 04:00:00 UTC,0.11
1990-08-20 04:00:00 UTC,0.11
1990-11-16 05:00:00 UTC,0.12
1991-02-15 05:00:00 UTC,0.12
1991-05-20 04:00:00 UTC,0.12
1991-08-19 04:00:00 UTC,0.12
1991-11-18 05:00:00 UTC,0.12
1992-02-14 05:00:00 UTC,0.12
1992-06-01 04:00:00 UTC,0.12
1992-08-17 04:00:00 UTC,0.12
1992-11-30 05:00:00 UTC,0.12
1993-02-12 05:00:00 UTC,0.12
1993-05-28 04:00:00 UTC,0.12
1993-08-16 04:00:00 UTC,0.12
1993-11-19 05:00:00 UTC,0.12
1994-02-07 05:00:00 UTC,0.12
1994-05-27 04:00:00 UTC,0.12
1994-08-15 04:00:00 UTC,0.12
1994-11-18 05:00:00 UTC,0.12
1995-02-13 05:00:00 UTC,0.12
1995-05-26 04:00:00 UTC,0.12
1995-08-16 04:00:00 UTC,0.12
1995-11-21 05:00:00 UTC,0.12
2012-08-09 04:00:00 UTC,2.65
2012-11-07 05:00:00 UTC,2.65
2013-02-07 05:00:00 UTC,2.65
2013-05-09 04:00:00 UTC,3.05
2013-08-08 04:00:00 UTC,3.05
2013-11-06 05:00:00 UTC,3.05
2014-02-06 05:00:00 UTC,3.05
2014-05-08 04:00:00 UTC,3.29
2014-08-07 04:00:00 UTC,0.47
2014-11-06 05:00:00 UTC,0.47
2015-02-05 05:00:00 UTC,0.47
2015-05-07 04:00:00 UTC,0.52
2015-08-06 04:00:00 UTC,0.52
2015-11-05 05:00:00 UTC,0.52
2016-02-04 05:00:00 UTC,0.52
2016-05-05 04:00:00 UTC,0.57
2016-08-04 04:00:00 UTC,0.57
2016-11-03 04:00:00 UTC,0.57
2017-02-09 05:00:00 UTC,0.57
